Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Raven-Symone,35.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/09/Raven-Symone.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Park School,53,Graduate,Raven-Symone,others
Jane Leeves,59.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/06/jane-leeves1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University College London,52,Graduate,Jane,female
Julianne Moore,60.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Julianne-Moore.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Boston University, Frankfurt American High School",50,Post Graduate,Julianne,female
Susan Sarandon,74.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/01/Susan-Sarandon.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Edison High School, Catholic University of America",50,Post Graduate,Susan,female
Helen Mirren,75.0,United kingdom,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/08/Helen-Mirren.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,New College of Speech and Drama,50,Graduate,Helen,female
Bo Derek,64.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/07/bo-derek-picture.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,in a relationship,George S. Patton Continuation School,50,Graduate,Bo,male
Alicia Witt,44.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/11/aw1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,50,Post Graduate,Alicia,female
Twiggy,71.0,United kingdom,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/t11.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Brondesbury and Kilburn High School,50,high school,Twiggy,others
Mariska Hargitay,57.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/05/Mariska-Hargitay.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of California Los Angeles,50,Post Graduate,Mariska,female
Teri Hatcher,56.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/teri-hatcher.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,De Anza College,50,Graduate,Teri,female
Keira Knightley,36.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/superbe-Keira-Knightley.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married, London Academy of Music and Dramatic Art,50,Graduate,Keira,female
Selena Gomez,27.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/selena-gomez1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,High school diploma (Home School),50,Graduate,Selena,female
Annette Bening,62.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/images-114.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Patrick Henry High School, San Diego Mesa College, San Francisco State University ",48,Graduate,Annette,female
