Name,age,country,category,image,marital_status,Education,net_worth,Degree
Alonzo Mourning,51,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Alonzo-Mourning2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Tracy Wilson Mourning),"Georgetown University, Indian River High School",$70 Million,Graduate
Elton Brand,42,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2018/09/Elton-Brand.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Shahara Simmons),Duke University,$70 Million,Graduate
Jermaine O Neal,42,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Jermaine-ONeal2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Mesha O’Neal),Eau Claire High School,$70 Million,high school
Paul Pierce,43,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Paul-Pierce-2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Julie Pierce),"University of Kansas, Inglewood High School",$70 Million,Graduate
Antawn Jamison,44,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/08/Antawn-Jamison.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Ione Rucker Jamison),University of North Carolina at Chapel Hill,$70 Million,Graduate
Andre Miller,40,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/07/Andre-Miller1.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married ,University of Utah,$70 Million,Graduate
LaMarcus Aldridge,34,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/03/LaMarcus-Aldridge1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,University of Texas,$68.2 Million,Graduate
Corey Maggette,40,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/09/Corey-Maggette.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Milagro Martinez),Duke University,$68 Million,Graduate
Michael Finley,48,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/finley2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married ( Rebekah Hosey)," University of Wisconsin-Madison, Proviso East High School",$65 Million,Graduate
Yao Ming,40,China,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2014/05/Yao-Ming.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Spouse: Ye Li (m. 2007),,$65 Million,
Pau Gasol,40,Spain,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/06/Pau-Gasol.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,University of Barcelona,$65 Million,Graduate
Emeka Okafor,37,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2014/11/Emeka-Okafor.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,University of Connecticut,$64.2 Million,Graduate
Wally Szczerbiak,42,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/03/Wally_Szczerbiak.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (shannon Ward),Miami University,$62.7 Million,Graduate
David Lee (NBA),36,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/03/David-Lee.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,University of Florida,$61.3 Million,Graduate
Blake Griffin,32,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Blake-Griffin1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,"Oklahoma Christian School, University of Oklahoma",$60 Million,Graduate
Shawn Marion,42,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/03/Shawn-Marion.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,"University of Nevada, Las Vegas, Vincennes University",$60 Million,Graduate
Vince Carter,44,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/vince-carter2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced ( Ellen Rucker ),"University of North Carolina at Chapel Hill, Mainland High School",$60 Million,Graduate
Jayson Williams,53,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Jayson-Williams2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Tanya Williams),"St John's University, Christ the King Regional High School",$60 Million,Graduate
Baron Davis,42,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/davis2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Isabella Brewster),"University of California, Los Angeles",$60 Million,Graduate
Jerry Stackhouse,46,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Jerry-Stackhouse2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Ramirra Stackhouse),University of North Carolina,$60 Million,Graduate
Joe Johnson,39,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Joe-Johnson2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,University of Arkansas,$60 Million,Graduate
Josh Smith,34,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/06/Josh-Smith.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Alexandria Smith),Oak Hill Academy,$60 Million,Graduate
Mike Bibby,41,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/11/mb14.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Darcy Watkins),University of Arizona,$60 Million,Graduate
Luol Deng,35,United kingdom,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Luol-Deng.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,"Duke University, St Mary's Roman Catholic High School, Croydon, Blair Academy",$60 Million,Graduate
Kevin Martin,36,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2014/11/Kevin-Martin.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Jill Arnold),Western Carolina University,$57.6 Million,Graduate
Lamar Odom,41,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/12/Lamar_Odom.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Khloé Kardashian),University of Nevada at Las Vegas,$56 Million,Graduate
Deron Williams,36,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/07/Deron-Williams-2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Amy Williams),University of Illinois,$55 Million,Graduate
Tyson Chandler,38,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Tyson-Chandler2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Kimberly Chandler),Dominguez High School,$55 Million,high school
Allan Houston,49,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/07/allan-houston.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Tamara Houston),"University of Tennessee, Ballard High School",$55 Million,Graduate
Jerry West,82,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Jerry-West.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Karen West),West Virginia University,$55 Million,Graduate
Paul Millsap,34,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/07/Paul-Millsap.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,Louisiana Tech University,$53 Million,Graduate
Rajon Rondo,35,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Rajon-Rondo2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Ashley Bachelor),"Louisville Eastern High School, Oak Hill Academy, University of Kentucky",$51 Million,Graduate
Ray Allen,45,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Ray-Allen.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Shannon Walker Williams),"University of Connecticut, Hillcrest High School ",$50 Million,Graduate
