Name,age,country,category,image,marital_status,Education,net_worth,Degree,age_bucket,first_name,Gender
Cole Hamels,37.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/11/ch1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Rancho Bernardo High School,60,high school,1,Cole,male
Carlos Zambrano,39.0,,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/mlb_ap_czambrano2_200.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,60,,1,Carlos,male
Matt Holliday,41.0,United states,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/matt-holliday1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,60,,2,Matt,male
Torii Hunter,45.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/torii-hunter-has-listed-his-newport-beach-property-asking-for-3-9-million.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Pine Bluff High School,60,high school,2,Torii,others
John Lackey,42.0,United states,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/boston-lackey.gif?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Texas in Arlington,60,Graduate,2,John,male
Mo Vaughn,53.0,,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/69ebbcc7e3b2ba15cf6d70b741ef122c.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Seton Hall University and Trinity-Pawling School,60,Graduate,2,Mo,male
Jorge Posada,49.0,,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/28866.gif?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Calhoun Community College,  Alejandrino High School ",60,Graduate,2,Jorge,male
John Smoltz,53.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/John-Smoltz.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Waverly High School,60,high school,2,John,male
Mark McGwire,57.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Mark-McGwire.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,60,,2,Mark,male
Troy Tulowitzki,36.0,,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Danyll-Gammon.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Fremont High School, California State University, Long Beach",60,Graduate,1,Troy,male
Lance Berkman,45.0,,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Lance-Berkman.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Canyon High School and Rice University,60,Graduate,2,Lance,male
Curtis Granderson,38.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/08/Curtis-Granderson.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Thornton Fractional South High School, University of Illinois at Chicago",58,Graduate,1,Curtis,male
Adam Wainwright,38.0,United states,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/05/Adam-Wainwright_.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Glynn Academy,57,Graduate,1,Adam,male
Cal Ripken Jr. (MLB),59.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/09/Cal-Ripken-Jr.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Aberdeen High School,55,high school,2,Cal,male
Kevin Brown,56.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Kevin-Brown.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,Georgia Institute of Technology,55,Graduate,2,Kevin,male
Jayson Werth,41.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Julia-Werth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Illinois State University,55,Graduate,2,Jayson,male
Brian McCann,35.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/09/Brian-McCann.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Duluth High School,54,high school,1,Brian,male
Matt Kemp,35.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/08/Matt-Kemp.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Midwest City High School,54,high school,1,Matt,male
Edwin Jackson,36.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/05/Edwin-Jackson.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Shaw High School,53,high school,1,Edwin,male
Yadier Molina,37.0,,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/09/Yadier-Molina.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,51,,1,Yadier,others
Joey Votto,36.0,Canada,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/03/Joey-Votto.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Richview Collegiate Institute,50.4,Graduate,1,Joey,male
Andruw Jones,43.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Andruw-Jones2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,50,,2,Andruw,others
Nick Swisher,40.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Nick-Swisher2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Ohio State University,50,Graduate,1,Nick,male
Josh Hamilton,39.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/04/Josh-Hamilton.jpeg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,North Carolina State University,50,Graduate,1,Josh,male
Cliff Lee,42.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/08/Cliff-Lee.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Arkansas ,50,Graduate,2,Cliff,male
Rafael Soriano,40.0,,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/07/Rafael-Soriano.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,,50,,1,Rafael,male
Rafael Palmeiro,55.0,,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2014/04/Hi_j0159.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Mississippi State University,50,Graduate,2,Rafael,male
Adrian Gonzalez,38.0,United states,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/10/ag11.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,50,,1,Adrian,male
Matt Cain,36.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/11/mc1.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Houston High School,50,high school,1,Matt,male
Mike Hampton,48.0,United states,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/mike_hampton_studio_portrait_photofile.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Notre Dame, Crystal River High School",50,Graduate,2,Mike,male
Frank Thomas,52.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Oakland+Athletics+v+Seattle+Mariners+GpeSw_GhFTcl.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Auburn University, Columbus High School",50,Graduate,2,Frank,male
Jason Kendall,46.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/015691815-433x575.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Torrance High School,50,high school,2,Jason,male
Matt Williams,55.0,,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Matt-Williams-Diamondbacks.gif?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,50,,2,Matt,male
Jeff Kent,53.0,,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/jeff-kent.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of California, Berkeley",50,Graduate,2,Jeff,male
Ichiro Suzuki,47.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/04/Ichiro-Suzuki.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,50,,2,Ichiro,male
A.J. Pierzynski,43.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/09/A.J.-Pierzynski.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Dr. Phillips High School,46,high school,2,A.J.,others
Nomar Garciaparra,46.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2014/07/Nomar-Garciaparra.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Georgia Institute of Technology,45,Graduate,2,Nomar,others
David Ortiz,45.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/10/david-ortiz-getty.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Estudia Espallat High Schoo,45,Graduate,2,David,male
Bobby Cox,79.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/fab_bobby_cox.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,45,,3,Bobby,male
A.J. Burnett,44.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/A.J.-Burnett.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Central Arkansas Christian Schools,45,Graduate,2,A.J.,others
Roberto Alomar,53.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/08/roberto-alomar.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,40,,2,Roberto,male
Justin Upton,32.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/05/Justin-Upton.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Great Bridge High School,40,high school,1,Justin,male
JJ Hardy,37.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/04/JJ-Hardy.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Sabino High School,40,high school,1,JJ,others
Hideki Matsui,45.0,Japan,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/12/146970298.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Seiryo High School,40,high school,2,Hideki,male
Clayton Kershaw,33.0,United states,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/10/Clayton-Kershaw.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Highland Park High School,40,high school,1,Clayton,male
Tim Lincecum,36.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/08/Tim-Lincecum-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,University of Washington and Liberty Senior High School,40,Graduate,1,Tim,male
David Justice,55.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/08/david-justice-1.gif?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Thomas Moore College,40,Graduate,2,David,male
Felix Hernandez,35.0,,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Felix-Hernandez.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,40,,1,Felix,male
Jason Bay,42.0,Canada,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Jason-Bay.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,McMaster University,40,,2,Jason,male
Robinson Cano,38.0,United states,baseball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Robinson-Cano.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"San Pedro Apostol High School, Barringer High School",40,high school,1,Robinson,others
James Shields,38.0,United states,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/09/James-Shields.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,William S. Hart High School,38,high school,1,James,male
Russell Martin,36.0,Canada,baseball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/09/Russell-Martin.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Chipola College,35,Graduate,1,Russell,male
Jhonny Peralta,37.0,,baseball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/08/Jhonny-Peralta.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,35,,1,Jhonny,others
Aaron Hill,37.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/05/Aaron-Hill.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Louisiana State University,35,Graduate,1,Aaron,male
Shane Victorino (MLB),39.0,United states,baseball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2014/04/p730680120cr1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,St. Anthony High School,35,high school,1,Shane,male
Michael Jordan,58.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/01/michael-jordan-face-o74fl9ao.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of North Carolina at Chapel Hill,1600.0,Graduate,2,Michael,male
Magic Johnson,61.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/11/magic-johnson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Michigan State University,  Everett High School",600,Graduate,3,Magic,others
Junior Bridgeman,67.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Junior-Bridgeman-pic-2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,East Chicago Washington High School and University of Louisville,600,Graduate,3,Junior,others
Quinn Cook,26.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/07/Quinn-Cook.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Duke University,500,Graduate,1,Quinn,male
LeBron James,36.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2018/12/LeBron-James.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,St. Vincent–St. Mary High School,440,high school,1,LeBron,others
Shaquille O'Neal,49.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/02/Shaquille-ONeal.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Barry University (Ed.D), University of Phoenix (MBA)",400,Graduate,2,Shaquille,male
Kobe Bryant,42.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Kobe_Bryant_Net_Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Lower Merion High School of Philadelphia,350,high school,2,Kobe,male
Hakeem Olajuwon,58.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Hakeem-Olajuwon.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Houston,200,Graduate,2,Hakeem,male
Kevin Garnett,44.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Kevin-Garnett.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Farragut Career Academy,180,Graduate,2,Kevin,male
Grant Hill,47.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2014/06/grant-hill-fps.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Duke University ,180,Graduate,2,Grant,male
Tim Duncan,44.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/01/Tim-Duncan-Basketball-player.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Wake Forest University,177,Graduate,2,Tim,male
Kevin Durant,31.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/07/Kevin-Durant.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"University of Texas at Austin, Montrose Christian School and Oak Hill Academy",170,Graduate,1,Kevin,male
Dirk Nowitzki,42.0,Germany,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/06/dirk-nowitzki-2011.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Hurtwood House school,170,,2,Dirk,male
Chris Webber (NBA),46.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/03/Chris-Webber.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Michigan,143.4,Graduate,2,Chris,male
Gilbert Arenas,39.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/05/Gilbert_Arenas.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,"Ulysses S. Grant High School, University of Arizona",135,Graduate,1,Gilbert,male
Gary Payton,52.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Gary-Payton.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Oregon State University, Skyline High School",130,Graduate,2,Gary,male
Russell Westbrook,31.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/01/Russell-Westbrook.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of California, Los Angeles and Leuzinger High School",125,Graduate,1,Russell,male
Carlos Boozer,38.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/03/Carlos-Boozer.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Duke University,120,Graduate,1,Carlos,male
Derrick Rose,32.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Derrick-Rose.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,in a relationship,"Simeon Career Academy, University of Memphis",115,Graduate,1,Derrick,male
Dwight Howard,35.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Dwight_Howard_Net_Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Southwest Atlanta Christian Academy,115,Graduate,1,Dwight,male
Dwyane Wade,39.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/01/dwyane-wade.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Dropout, Marquette University, Harold L. Richards",115,Graduate,1,Dwyane,others
Chris Bosh,37.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Chris-Bosh2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Georgia Institute of Technology, Lincoln High School",110,high school,1,Chris,male
Chris Paul,35.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Chris-Paul1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Wake Forest University, West Forsyth High School",95,Graduate,1,Chris,male
Steve Nash,47.0,Canada,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/05/Steve_Nash.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Santa Clara University, St. Michaels University School",95,Graduate,2,Steve,male
Amare Stoudemire,38.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Amare-Stoudemire2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Cypress Creek High School, University of Miami",90,Graduate,1,Amare,others
Reggie Miller,55.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Reggie-Miller2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"University of California, Los Angeles",90,Graduate,2,Reggie,male
David Robinson,55.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/David-Robinson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"United States Naval Academy, Osbourn Park High School",90,high school,2,David,male
Stephen Curry,31.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/01/Stephen-Curry.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Davidson College,90,Graduate,1,Stephen,male
Patrick Ewing,58.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Patrick-Ewing-wants-a-return-to-New-York-Knicks-as-a-head-coach-NBA-Update-90535.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Georgetown University, Cambridge Rindge and Latin School ",85,Graduate,2,Patrick,male
Carmelo Anthony,36.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/anthony2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,85,Graduate,1,Carmelo,male
Nene Hilario,37.0,Brazil,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/03/Nene-Hilario.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"The University of Texas at Austin, Universidade Federal do Rio de Janeiro",81.9,,1,Nene,others
Juwan Howard,48.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Juwan-Howard2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Michigan, Chicago Vocational Career Academy",80,Graduate,2,Juwan,male
James Harden,31.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/James-Harden2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Arizona State University,80,Graduate,1,James,male
Gerald Wallace,37.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/08/Gerald-Wallace.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Alabama,80,Graduate,1,Gerald,male
Pat Riley,76.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2022/03/Megan-1.png?q=50&fit=crop&w=320&h=160&dpr=1.5 ,married," University of Kentucky, Schenectady High School",80,Graduate,3,Pat,female
Tracy McGrady,41.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Tracy-McGrady2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Mt. Zion Christian Academy, Auburndale High School",75,high school,2,Tracy,female
Kevin Love,32.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Kevin-Love2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,University of California - Los Angeles,75,Graduate,1,Kevin,male
Rasheed Wallace,46.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/rasheed-wallace2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of North Carolina at Chapel Hill,75,Graduate,2,Rasheed,male
Dikembe Mutombo,54.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Dikembe-Mutombo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Georgetown University,75,Graduate,2,Dikembe,others
Karl Malone,57.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Karl-Malone.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Louisiana Tech University,75,Graduate,2,Karl,male
Jason Kidd,48.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Jason-Kidd2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"St. Joseph Notre Dame, University of California Berkeley",73,Graduate,2,Jason,male
Alonzo Mourning,51.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Alonzo-Mourning2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Georgetown University, Indian River High School",70,Graduate,2,Alonzo,male
Elton Brand,42.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2018/09/Elton-Brand.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Duke University,70,Graduate,2,Elton,male
Jermaine O Neal,42.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Jermaine-ONeal2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Eau Claire High School,70,high school,2,Jermaine,male
Paul Pierce,43.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/Paul-Pierce-2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Kansas, Inglewood High School",70,Graduate,2,Paul,male
Antawn Jamison,44.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/08/Antawn-Jamison.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,University of North Carolina at Chapel Hill,70,Graduate,2,Antawn,others
Andre Miller,40.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/07/Andre-Miller1.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Utah,70,Graduate,1,Andre,male
LaMarcus Aldridge,34.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/03/LaMarcus-Aldridge1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,University of Texas,68.2,Graduate,1,LaMarcus,others
Corey Maggette,40.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/09/Corey-Maggette.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Duke University,68,Graduate,1,Corey,male
Michael Finley,48.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/finley2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married," University of Wisconsin-Madison, Proviso East High School",65,Graduate,2,Michael,male
Yao Ming,40.0,China,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2014/05/Yao-Ming.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Shenzhen University,65,,1,Yao,female
Pau Gasol,40.0,Spain,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/06/Pau-Gasol.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,University of Barcelona,65,Graduate,1,Pau,male
Emeka Okafor,37.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2014/11/Emeka-Okafor.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,University of Connecticut,64.2,Graduate,1,Emeka,others
Wally Szczerbiak,42.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/03/Wally_Szczerbiak.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Miami University,62.7,Graduate,2,Wally,male
David Lee (NBA),36.0,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/03/David-Lee.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,University of Florida,61.3,Graduate,1,David,male
Blake Griffin,32.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/Blake-Griffin1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Oklahoma Christian School, University of Oklahoma",60,Graduate,1,Blake,male
Shawn Marion,42.0,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/03/Shawn-Marion.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"University of Nevada, Las Vegas, Vincennes University",60,Graduate,2,Shawn,male
Vince Carter,44.0,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/vince-carter2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"University of North Carolina at Chapel Hill, Mainland High School",60,Graduate,2,Vince,male
Jayson Williams,53.0,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/Jayson-Williams2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"St John's University, Christ the King Regional High School",60,Graduate,2,Jayson,male
